,username,created_time,tweet_id,tweet, place
0,Michael04969251,Wed Oct 06 09:08:13 +0000 2021,1445677262326546437,"RT @PeterSweden7: Italy is forcing all workers to have a covid passport on October 15.

Victoria in Australia will require all workers on t…",
1,dannya_more,Wed Oct 06 09:08:13 +0000 2021,1445677263622606853,"Just posted a photo @ Chinatown, Victoria https://t.co/KgkYkrtqO4","Victoria, British Columbia"
2,GabeShepperd,Wed Oct 06 09:08:17 +0000 2021,1445677278311026689,"RT @lroc1501: Two young men, both 22 yo who were involved in the Murdoch Riots in Melbourne Australia, which was heavily promoted by Newsco…",Australia
3,ensquaredx2,Wed Oct 06 09:08:17 +0000 2021,1445677280848596998,"RT @CraigKellyMP: I stand with VIC Authorised Workers United Against Mandates

These are wonderful Emergency Services workers who love &amp; se…","Sydney, New South Wales"
4,jamielamond2,Wed Oct 06 09:08:17 +0000 2021,1445677281033154560,RT @YouAreLobbyLud: A frontline healthcare worker asks. Can anyone help?,"Melbourne, Victoria, Australia"
5,TwitchTVGlobal,Wed Oct 06 09:08:19 +0000 2021,1445677289723686916,"RT @Snowfnt_: !charity stream for Variety - Melbourne International Games Week! #MIGW21

https://t.co/mDYXQX1T9r",
6,purcellron,Wed Oct 06 09:08:19 +0000 2021,1445677289627258886,"@TasosManiatis1 I’m a realist. He’s got us by the balls, the state is fked and dan will be re elected by the 70% of… https://t.co/m1JLuhv4Mv","Melbourne, Australia."
7,good4vic,Wed Oct 06 09:08:20 +0000 2021,1445677290327666689,why are people shaming victoria for having no hair down there? it's HER decision,fan | bi | 18
8,joannamuses,Wed Oct 06 09:08:20 +0000 2021,1445677290596093962,"RT @SandroDemaio: Massive shoutout to the 95,600 CHAMPS across Victoria who got vaccinated yesterday. More than 1% of the entire state’s po…",Melbourne
9,danielle_binks,Wed Oct 06 09:08:22 +0000 2021,1445677300398247942,"People from the US &amp; UK especially flipping out on our behalf … ~don’t, darls~ we got this.

UK, you had 137K death… https://t.co/Bv46Qy3mSs","Melbourne, Australia"
10,philipmallis,Wed Oct 06 09:08:26 +0000 2021,1445677318806990857,New video to be released tomorrow! It'll be a guided tour  of one of the most significant interchanges in Melbourne… https://t.co/mUhcOaA9rW,"Melbourne, Victoria"
11,wander7lust,Wed Oct 06 09:08:27 +0000 2021,1445677322401505281,RT @Kon__K: Melbourne residents were surprised to learn that a new record for days in lockdown set this week actually belongs to Australia’…,
12,DonKirwa,Wed Oct 06 09:08:29 +0000 2021,1445677329561182216,"RT @KResearcher: Hopefully one day Kenya,Uganda and Tanzania will sit down like grown ups and decide to rename Lake Victoria. #RandomThough…",Nairobi and Western Perth.
13,saintrozzy,Wed Oct 06 09:08:30 +0000 2021,1445677335760363520,"RT @SharnelleVella: Jane’s weather: 👱🏼‍♀️ ☀️ 

Brisbane: ☀️ then 🌤, 28
Sydney: ☀️ &amp; 30, b4 gusty cool change ~5pm
Canberra: ☀️ 21
Melbourne…",
14,wilkiefree,Wed Oct 06 09:08:30 +0000 2021,1445677335856889863,@DanielAndrewsMP Great choice fot Victoria!,
15,joan_armitage,Wed Oct 06 09:08:33 +0000 2021,1445677346342641676,RT @Kon__K: Melbourne residents were surprised to learn that a new record for days in lockdown set this week actually belongs to Australia’…,
16,LovelyShakira3,Wed Oct 06 09:08:37 +0000 2021,1445677362658439168,"RT @MutebiRichard18: MT KABAKA MUTEBI II is finally on the waters of Lake #Victoria/#Nalubale

According to @Mukulaa, they have spent over…",
17,ConjuredRundown,Wed Oct 06 09:08:40 +0000 2021,1445677377049137157,"RT @MichaelPSenger: Haunting full-color images of Warsaw in 1945.

Oh wait, no—this is Melbourne, Australia. In 2021.
https://t.co/lYABcLsm…",Edmonton Brighton
18,MediumDebyOuld,Wed Oct 06 09:08:42 +0000 2021,1445677385999736836,"Melbourne has gone full on fascist &amp; hve implemented Medical apartheid! Here we are in Blighty all mixing together,… https://t.co/cbDa1k2mCI","Falmouth, England"
19,RaxRaksh,Wed Oct 06 09:08:45 +0000 2021,1445677396577845256,"RT @ESPNcricinfo: With the Queensland border closed for NSW and Victoria, the likes of Nathan Lyon face logistical issues ahead of the firs…","Karnataka, India"
20,DWaiariki,Wed Oct 06 09:08:46 +0000 2021,1445677399610327044,RT @melaustours: Getting reports that dan Andrews could be gone by this weekend,
21,b055lad33,Wed Oct 06 09:08:47 +0000 2021,1445677406312808459,"@OzraeliAvi It’s real……. And how about those vaccinated in hospital….
https://t.co/vF2FLWLRbO",
22,AjOhaccurateone,Wed Oct 06 09:08:48 +0000 2021,1445677411052318725,VIC Authorised Workers Unite Against Mandate https://t.co/d47Y7CUbIU,"Mornington Peninsula, Victoria"
23,timeflies9270,Wed Oct 06 09:08:49 +0000 2021,1445677412302217225,RT @MelissaLDavey: City of Melbourne have just announced that from Friday 5 November vaccination will be required to enter any City of Melb…,🚫PM/DM🚫
24,DwdonsDavid,Wed Oct 06 09:08:49 +0000 2021,1445677414994964486,Good call,
25,Julieoz836,Wed Oct 06 09:08:51 +0000 2021,1445677421491937280,"@DanielAndrewsMP @VictorianCHO As Poorlene would say ""Please explain?""",Australia
26,drumcodeuk,Wed Oct 06 09:08:52 +0000 2021,1445677425010958336,Ljubljana looking a lot like Melbourne there...,Covid Hotspot
27,JennyWeedon,Wed Oct 06 09:08:52 +0000 2021,1445677425044557826,"RT @PeterCredlin_PW: Being recorded and then subsequently being investigated for fraud is vastly different than ""thinking"" that there is an…","Melbourne, Victoria"
28,RealPDriessen,Wed Oct 06 09:08:52 +0000 2021,1445677428349620229,Uhuh. So he locked us up and abused us instead of doing his job.  @SCVSupremeCourt,International
29,mautumnum,Wed Oct 06 09:08:54 +0000 2021,1445677434775302152,"RT @CraigKellyMP: A Victorian teacher &amp; her husband’s legal challenge to Dan’s “no jab, no job” policy will go to trial later this month

W…",
30,javisstunner,Wed Oct 06 09:08:54 +0000 2021,1445677435802906627,"RT @namasole_: 🔥Experiences🔥
Come and enjoy a Jet ski to Munyonyo on lake Victoria at only 99,000 per person 

#bookwithtubayo https://t.co…",Traveller🪐
31,RayMondeDeux,Wed Oct 06 09:08:55 +0000 2021,1445677438340513800,"RT @lroc1501: Two young men, both 22 yo who were involved in the Murdoch Riots in Melbourne Australia, which was heavily promoted by Newsco…",Sunbury Victoria
32,Sharron28865362,Wed Oct 06 09:08:56 +0000 2021,1445677444854288390,RT @AusIndiMedia: Why does a certain newspaper congratulate NSW on their number of vaccinations while expressing shock and horror about Vic…,Australia
33,Refess,Wed Oct 06 09:08:58 +0000 2021,1445677451820953601,‘Unique’ North Devon village named one of the prettiest in the UK – ‘rival anywhere’ - ”Victoria R said: “This vill… https://t.co/M7a3Qk0lbK,
34,garryd50,Wed Oct 06 09:09:00 +0000 2021,1445677459630739469,"RT @sackdanandrews: Arrest and charge Dan Andrews, Pakula and Sutton for fraud and any other BS you all seem to come up with when you find…",
35,Bob_A_79807,Wed Oct 06 09:09:01 +0000 2021,1445677463883825157,RT @miraaikie: Too late for Australia.🙈🙈🙈🙈,Bloemfontein
36,howsitgoineoin,Wed Oct 06 09:09:02 +0000 2021,1445677468090716168,"RT @DarrenPlymouth: Teachers in Victoria, Australia, need to be vaccinated by the 15th October, or no job. Vaccinated teachers are needed t…",
37,BarbaraMcGilli,Wed Oct 06 09:09:05 +0000 2021,1445677480333877260,"RT @up_johd: #johdnews
@TobyBurrows, @1n9r1d and @BarbaraMcGilli will present their poster at the e-research Australasia conference!
Detail…",
38,ued_in,Wed Oct 06 09:09:05 +0000 2021,1445677482921713672,RT @mjrowland68: Big story. @theage reports Victoria’s anti-corruption body is examining the conduct of @DanielAndrewsMP in a deal with the…,
